fontName,x,y
Archivo Narrow,62,935
Sarpanch,63,735
News Cycle,487,339
IM Fell DW Pica SC,354,470
Source Code Pro,1451,375
Pragati Narrow,1776,1072
Petrona,442,1059
Padauk,912,626
Oleo Script Swash Caps,195,99
Arvo,162,460
Rajdhani,980,327
Asul,249,122
Patrick Hand SC,1010,591
Boogaloo,1879,169
Mate SC,1404,461
Laila,1065,378
Unica One,576,312
Creepster,7,808
Fascinate Inline,730,731
Lemonada,1898,361
Overlock,977,738
Electrolize,554,526
Amiko,1775,975
Numans,1855,355
Pangolin,356,360
Ultra,180,445
Arya,1690,1018
Monda,362,438
Anaheim,1878,521
Maven Pro,530,778
Diplomata,915,38
Geo,1000,335
Jockey One,286,887
Just Another Hand,1840,599
Chivo,624,765
Orbitron,1393,549
Cutive Mono,1744,409
Jaldi,500,889
Leckerli One,37,996
Lekton,1788,155
Poppins,284,776
Mallanna,1346,65
Coiny,1278,786
Iceland,1207,104
Changa,1486,243
Bowlby One,248,28
Average Sans,37,899
Merienda,1169,848
Nobile,1486,453
Flavors,1138,668
Snippet,1441,1049
Galindo,817,274
Abril Fatface,1184,340
Hind Guntur,1413,959
Sigmar One,979,632
Skranji,1022,762
El Messiri,99,507
Hind Madurai,1669,70
Montserrat,1785,655
Kadwa,792,791
Germania One,1748,838
Merienda One,322,334
Comfortaa,557,260
Gravitas One,603,604
Hanalei,330,642
Jacques Francois Shadow,4,144
PT Sans,612,127
Hanalei Fill,225,745
Contrail One,442,1029
Julee,277,634
Lato,1009,915
Lilita One,1791,977
Sonsie One,1330,96
IM Fell French Canon SC,1846,494
Hind,130,666
Carrois Gothic SC,1221,739
Nova Round,608,450
Roboto Mono,934,152
Amaranth,1312,120
Life Savers,896,283
Modak,1802,886
Open Sans,1568,330
Emblema One,1842,982
Cambay,1721,840
Sniglet,1813,34
Bevan,475,193
Federant,888,495
Michroma,437,854
Rakkas,897,712
Peralta,1675,1015
Averia Sans Libre,1170,587
Catamaran,629,548
Maiden Orange,1129,718
Gochi Hand,1245,482
Corben,1144,785
Galada,1078,397
McLaren,901,872
Playfair Display SC,253,730
Voltaire,1666,559
Eater,1393,353
Signika,1066,939
Cormorant Upright,1041,988
Yanone Kaffeesatz,1631,250
Metrophobic,1114,283
IM Fell Great Primer SC,1478,218
Sancreek,1597,619
Titillium Web,672,674
Cherry Cream Soda,610,651
Biryani,1639,692
Bigshot One,1439,892
Bowlby One SC,1581,492
Average,438,211
Strait,1460,937
Text Me One,978,888
Kenia,972,585
Source Sans Pro,960,723
Poiret One,1520,786
IM Fell English SC,1262,68
